transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g,offense_rush_yards,offense_pass_yards,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,season_wins,season_losses
False,Evan Marshman,2019,QB,rice,2,1,5.0,2.0,40.0,27.0,5.4,0.0,0.0,85.36,5.0,27.0,evan_marshman_rice,6.0,-8.0,-1.33,0.0,6.00,-8.00,-8,27,11,19,1.73,19.0,3,9
False,Evan Olaes,2021,QB,colorado_state,1,3,12.0,7.0,58.3,50.0,4.2,0.0,1.0,76.66,4.0,16.7,evan_olaes_colorado_state,18.0,84.0,4.67,0.0,6.00,28.00,84,50,30,134,4.47,44.7,3,9
False,Evan Orth,2017,QB,south_alabama,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,evan_orth_south_alabama,1.0,41.0,41.00,0.0,0.50,20.50,41,0,2,41,20.50,20.5,4,8
False,Evan Orth,2018,QB,south_alabama,4,10,222.0,145.0,65.3,1795.0,8.1,11.0,6.0,144.18,22.2,179.5,evan_orth_south_alabama,56.0,173.0,3.09,1.0,5.60,17.30,173,1795,278,1968,7.08,196.8,3,9
False,Evan Prater,2020,QB,cincinnati,1,1,,,,,,,,,,,evan_prater_cincinnati,2.0,4.0,2.00,0.0,2.00,4.00,4,0,2,4,2.00,4.0,9,1
False,Evan Prater,2021,QB,cincinnati,1,7,11.0,5.0,45.5,38.0,3.5,2.0,1.0,116.3,1.6,5.4,evan_prater_cincinnati,12.0,105.0,8.75,2.0,1.71,15.00,105,38,23,143,6.22,20.4,13,1
False,Evan Prater,2022,QB,cincinnati,2,9,66.0,35.0,53.0,423.0,6.4,1.0,1.0,108.84,7.3,47.0,evan_prater_cincinnati,49.0,166.0,3.39,1.0,5.44,18.44,166,423,115,589,5.12,65.4,9,4
True,Evan Shirreffs,2017,QB,miami_florida,2,4,7.0,2.0,28.6,16.0,2.3,0.0,0.0,47.77,1.8,4.0,evan_shirreffs_miami_florida,1.0,-2.0,-2.00,0.0,0.25,-0.50,-2,16,8,14,1.75,3.5,10,3
False,Evan Shirreffs,2018,QB,charlotte,4,6,104.0,54.0,51.9,631.0,6.1,2.0,4.0,101.54,17.3,105.2,evan_shirreffs_charlotte,30.0,-1.0,-0.03,2.0,5.00,-0.17,-1,631,134,630,4.70,105.0,5,7
False,Evan Shirreffs,2019,QB,charlotte,4,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,evan_shirreffs_charlotte,3.0,33.0,11.00,0.0,1.50,16.50,33,0,5,33,6.60,16.5,7,6
False,Evan Simon,2021,QB,rutgers,1,6,28.0,16.0,57.1,145.0,5.2,0.0,1.0,93.5,4.7,24.2,evan_simon_rutgers,8.0,6.0,0.75,0.0,1.33,1.00,6,145,36,151,4.19,25.2,5,8
False,Evan Simon,2022,QB,rutgers,2,9,137.0,79.0,57.7,777.0,5.7,4.0,6.0,106.18,15.2,86.3,evan_simon_rutgers,22.0,-2.0,-0.09,0.0,2.44,-0.22,-2,777,159,775,4.87,86.1,4,8
