name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Sean Clifford,JR,QB,9,251,152,60.6,1883,7.5,16,9,137.45,27.9,209.2,penn_state
Will Levis,SO,QB,8,55,33,60.0,421,7.7,1,0,130.30,6.9,52.6,penn_state
Kenny Pickett,SR,QB,9,332,203,61.1,2408,7.3,13,9,129.58,36.9,267.6,pittsburgh
Joey Yellen,FR,QB,6,78,35,44.9,402,5.2,1,3,84.70,13.0,67.0,pittsburgh
Davis Beville,FR,QB,6,10,5,50.0,30,3.0,0,0,75.20,1.7,5.0,pittsburgh
Nick Patti,SO,QB,2,5,2,40.0,17,3.4,0,0,68.56,2.5,8.5,pittsburgh
Jack Plummer,SO,QB,3,124,88,71.0,938,7.6,8,2,152.58,41.3,312.7,purdue
Aidan O'Connell,JR,QB,3,136,88,64.7,916,6.7,7,2,135.33,45.3,305.3,purdue
Mike Collins,SR,QB,3,86,53,61.6,802,9.3,10,1,176.01,28.7,267.3,rice
JoVoni Johnson,FR,QB,4,37,27,73.0,225,6.1,1,0,132.97,9.3,56.3,rice
Wiley Green,SO,QB,1,10,2,20.0,27,2.7,0,1,22.68,10.0,27.0,rice
Noah Vedral,SR,QB,7,221,136,61.5,1219,5.5,9,8,114.07,31.6,174.1,rutgers
Artur Sitkowski,JR,QB,4,81,52,64.2,444,5.5,3,0,122.46,20.3,111.0,rutgers
Johnny Langan,JR,QB,9,13,10,76.9,92,7.1,2,1,171.76,1.4,10.2,rutgers
Aaron Young,SO,RB,9,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,rutgers
Carson Baker,SO,QB,6,104,59,56.7,617,5.9,3,3,110.32,17.3,102.8,san_diego_state
Jordon Brookshire,JR,QB,3,74,42,56.8,410,5.5,2,2,106.81,24.7,136.7,san_diego_state
Lucas Johnson,JR,QB,3,24,14,58.3,184,7.7,1,0,136.48,8.0,61.3,san_diego_state
Nick Starkel,SR,QB,8,254,163,64.2,2174,8.6,17,7,152.65,31.8,271.8,san_jose_state
Nick Nash,SO,QB,8,34,20,58.8,213,6.3,2,2,119.10,4.3,26.6,san_jose_state
Shane Buechele,SR,QB,10,370,242,65.4,3095,8.4,23,6,152.95,37.0,309.5,smu
Tyler Page,SR,WR,9,3,1,33.3,55,18.3,0,0,187.33,0.3,6.1,smu
Terrance Gipson,FR,QB,4,3,3,100.0,30,10.0,0,0,184.00,0.8,7.5,smu
Desmond Trotter,SO,QB,10,248,160,64.5,1917,7.7,11,4,140.86,24.8,191.7,south_alabama
Chance Lovertich,JR,QB,6,86,47,54.7,619,7.2,5,2,129.65,14.3,103.2,south_alabama
Tanner McGee,FR,QB,2,8,6,75.0,145,18.1,2,0,309.75,4.0,72.5,south_alabama
Eli Gainey,FR,QB,10,9,6,66.7,38,4.2,0,0,102.13,0.9,3.8,south_alabama
Collin Hill,SR,QB,8,215,127,59.1,1411,6.6,6,6,117.83,26.9,176.4,south_carolina
Luke Doty,FR,QB,8,71,43,60.6,405,5.7,2,3,109.32,8.9,50.6,south_carolina
Ryan Hilinski,SO,QB,2,6,4,66.7,34,5.7,0,0,114.27,3.0,17.0,south_carolina
Kai Kroeger,FR,P,10,1,1,100.0,22,22.0,0,0,284.80,0.1,2.2,south_carolina
Shi Smith,SR,WR,9,2,0,0.0,0,0.0,0,0,0.00,0.2,0.0,south_carolina
Jordan McCloud,SO,QB,8,194,120,61.9,1341,6.9,9,2,133.17,24.3,167.6,south_florida
Noah Johnson,SR,QB,6,77,48,62.3,459,6.0,3,1,122.67,12.8,76.5,south_florida
Katravis Marsh,FR,QB,4,31,14,45.2,92,3.0,0,3,50.74,7.8,23.0,south_florida
Cade Fortin,SO,QB,2,8,4,50.0,39,4.9,0,0,90.95,4.0,19.5,south_florida
Randall St. Felix,JR,WR,8,1,1,100.0,18,18.0,0,0,251.20,0.1,2.3,south_florida
Kenny Scribner,FR,P,5,1,0,0.0,0,0.0,0,0,0.00,0.2,0.0,south_florida
Johnny Ford,SO,RB,7,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,south_florida
Jack Abraham,SR,QB,5,149,97,65.1,1224,8.2,7,4,144.24,29.8,244.8,southern_mississippi
Tate Whatley,SO,QB,4,65,37,56.9,460,7.1,3,2,125.45,16.3,115.0,southern_mississippi
Trey Lowe,SO,QB,4,59,36,61.0,433,7.3,2,3,123.69,14.8,108.3,southern_mississippi
Griffin Fleming,SO,P,9,1,1,100.0,13,13.0,0,0,209.20,0.1,1.4,southern_mississippi
Davis Mills,SR,QB,5,195,129,66.2,1508,7.7,7,3,139.88,39.0,301.6,stanford
Jack West,JR,QB,1,19,13,68.4,154,8.1,0,0,136.50,19.0,154.0,stanford
Tanner McKee,FR,QB,1,7,3,42.9,62,8.9,0,0,117.26,7.0,62.0,stanford
Rex Culpepper,SR,QB,10,190,94,49.5,1028,5.4,9,8,102.13,19.0,102.8,syracuse
Tommy DeVito,JR,QB,4,96,48,50.0,593,6.2,4,2,111.47,24.0,148.3,syracuse
JaCobian Morgan,FR,QB,4,49,31,63.3,285,5.8,2,2,117.43,12.3,71.3,syracuse
Dillon Markiewicz,FR,QB,2,1,0,0.0,0,0.0,0,0,0.00,0.5,0.0,syracuse
Max Duggan,SO,QB,10,240,146,60.8,1795,7.5,10,4,134.07,24.0,179.5,tcu
Matthew Downing,SO,QB,4,30,17,56.7,168,5.6,1,1,108.04,7.5,42.0,tcu
JD Spielman,SR,WR,3,1,1,100.0,0,0.0,0,0,100.00,0.3,0.0,tcu
Anthony Russo,SR,QB,4,135,92,68.1,863,6.4,9,6,134.96,33.8,215.8,temple
Re-al Mitchell,SO,QB,3,52,26,50.0,233,4.5,1,2,86.30,17.3,77.7,temple
Trad Beatty,SO,QB,2,27,17,63.0,230,8.5,1,1,139.33,13.5,115.0,temple
Kamal Gray,FR,QB,1,21,10,47.6,95,4.5,0,2,66.57,21.0,95.0,temple
Branden Mack,SR,WR,7,3,1,33.3,35,11.7,0,0,131.33,0.4,5.0,temple
Matt Duncan,FR,QB,1,2,0,0.0,0,0.0,0,0,0.00,2.0,0.0,temple
Jarrett Guarantano,SR,QB,7,166,103,62.0,1112,6.7,6,4,125.43,23.7,158.9,tennessee
Harrison Bailey,FR,QB,6,68,48,70.6,578,8.5,4,2,155.52,11.3,96.3,tennessee
J.T. Shrout,SO,QB,4,42,24,57.1,315,7.5,4,3,137.28,10.5,78.8,tennessee
Paxton Brooks,JR,P,10,3,2,66.7,33,11.0,0,0,159.07,0.3,3.3,tennessee
Brian Maurer,SO,QB,4,6,2,33.3,9,1.5,0,0,45.93,1.5,2.3,tennessee
Sam Ehlinger,SR,QB,10,322,194,60.2,2566,8.0,26,5,150.73,32.2,256.6,texas
Casey Thompson,SO,QB,3,17,12,70.6,225,13.2,6,0,298.23,5.7,75.0,texas
Hudson Card,FR,QB,2,3,1,33.3,5,1.7,0,0,47.33,1.5,2.5,texas
Cameron Dicker,JR,K,10,1,1,100.0,5,5.0,0,0,142.00,0.1,0.5,texas
Joshua Moore,SO,WR,10,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,texas
Kellen Mond,SR,QB,10,297,188,63.3,2282,7.7,19,3,146.94,29.7,228.2,texas_a&m
Haynes King,FR,QB,2,4,2,50.0,59,14.8,1,1,206.40,2.0,29.5,texas_a&m
Brady McBride,SO,QB,9,282,173,61.3,1925,6.8,17,7,133.62,31.3,213.9,texas_state
Tyler Vitt,JR,QB,7,122,74,60.7,933,7.6,9,6,139.40,17.4,133.3,texas_state
Jeremiah Haydel,SR,WR,12,1,1,100.0,3,3.0,0,0,125.20,0.1,0.3,texas_state
Sione Tupou,JR,LB,12,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,texas_state
Alan Bowman,SO,QB,8,232,150,64.7,1602,6.9,10,7,130.85,29.0,200.3,texas_tech
Henry Colombi,JR,QB,6,166,109,65.7,1065,6.4,8,4,130.63,27.7,177.5,texas_tech
Eli Peters,SR,QB,4,129,88,68.2,1106,8.6,9,2,160.16,32.3,276.5,toledo
Carter Bradley,SO,QB,4,89,55,61.8,849,9.5,9,5,164.06,22.3,212.3,toledo
Dequan Finn,FR,QB,4,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,toledo
Gunnar Watson,SO,QB,9,301,211,70.1,2141,7.1,16,7,142.74,33.4,237.9,troy
Jacob Free,JR,QB,6,152,88,57.9,1051,6.9,6,5,122.43,25.3,175.2,troy
Parker McNeil,JR,QB,1,2,0,0.0,0,0.0,0,0,0.00,2.0,0.0,troy
Tez Johnson,FR,WR,11,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,troy
Michael Pratt,FR,QB,10,254,140,55.1,1806,7.1,20,8,134.52,25.4,180.6,tulane
Keon Howard,SR,QB,6,58,25,43.1,314,5.4,1,1,90.82,9.7,52.3,tulane
Amare Jones,JR,RB,10,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,tulane
Zach Smith,SR,QB,9,263,147,55.9,1947,7.4,13,10,126.79,29.2,216.3,tulsa
Davis Brin,SO,QB,2,29,19,65.5,268,9.2,2,0,165.90,14.5,134.0,tulsa
Seth Boomer,JR,QB,2,13,7,53.8,60,4.6,0,1,77.24,6.5,30.0,tulsa
Bryson Lucero,FR,QB,7,146,79,54.1,969,6.6,7,8,114.72,20.9,138.4,uab
Tyler Johnston III,JR,QB,5,97,57,58.8,843,8.7,7,1,153.51,19.4,168.6,uab
Dillon Gabriel,SO,QB,10,413,248,60.0,3570,8.6,32,4,156.29,41.3,357.0,ucf
Quadry Jones,SO,QB,2,2,1,50.0,4,2.0,0,0,66.80,1.0,2.0,ucf
