name,team_name,season,g,g_diff,passing_rating,pass_rating_perc,other_qbs,attempts_per_game,playing_time_ratio,team_win_pct,team_win_pct_change,depth_chart_position,passing_rating_yoy_change,passing_att_yoy_change,passing_yards_yoy_change,passing_td_yoy_change,transfer,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,offense_plays_yoy_change,offense_total_yards_yoy_change,offense_yards/play_yoy_change,offense_yards/g_yoy_change,transferred_next_year
Daniel Parr,florida_atlantic,2017,9,0.0,135.46,0.67,2,8.33,0.21,0.79,2.14,2.0,1.45,1.08,4.55,1.0,0,100,614,6.14,68.2,1.17,4.16,1.37,4.17,0
Daniel Richardson,central_michigan,2019,3,0.0,36.13,0.25,3,1.0,0.01,0.57,0.24,4.0,0.0,0.38,0.32,0.33,0,4,4,1.0,1.3,0.32,0.27,0.01,0.15,0
Daniel Richardson,central_michigan,2020,4,1.0,137.8,1.0,1,25.0,0.61,0.5,-0.12,1.0,2.81,32.33,768.0,1.0,0,114,755,6.62,188.8,27.5,187.75,5.62,144.23,0
Daniel Richardson,central_michigan,2021,13,9.0,150.36,0.67,2,24.31,0.72,0.69,0.38,1.0,0.09,2.16,2.36,5.0,0,339,2545,7.51,195.8,1.97,2.37,0.13,0.04,0
Daniel Richardson,central_michigan,2022,12,-1.0,121.24,1.0,2,26.5,0.83,0.33,-0.52,1.0,-0.19,0.01,-0.23,-0.38,1,351,1933,5.51,161.1,0.04,-0.24,-0.27,-0.18,1
Daniel Richardson,florida_atlantic,2023,11,-1.0,123.91,0.5,3,29.27,0.79,0.33,-0.58,1.0,0.02,0.01,0.01,-0.13,0,364,1939,5.33,176.3,0.04,0.0,-0.03,0.09,0
Daniel Santacaterina,northern_illinois,2016,3,0.0,125.33,0.5,3,12.67,0.1,0.42,0.0,4.0,-999.0,-999.0,-999.0,-999.0,0,64,468,7.31,156.0,-999.0,-999.0,-999.0,-999.0,0
Daniel Santacaterina,northern_illinois,2017,6,3.0,139.08,1.0,3,16.17,0.24,0.62,0.48,2.0,0.11,1.55,0.97,6.0,0,119,688,5.78,114.7,0.86,0.47,-0.21,-0.26,0
Danny Clark,kentucky,2018,2,0.0,127.31,0.67,2,12.38,0.2,0.77,0.28,2.0,-0.0,0.31,0.33,0.49,0,2,4,2.0,2.0,0.25,0.27,0.01,0.06,0
Danny Etling,lsu,2016,11,0.0,135.54,0.67,2,24.45,0.91,0.67,0.0,1.0,-999.0,-999.0,-999.0,-999.0,0,310,2169,7.0,197.2,-999.0,-999.0,-999.0,-999.0,0
Danny Etling,lsu,2017,13,2.0,152.98,1.0,2,21.15,0.92,0.69,0.04,1.0,0.13,0.02,0.16,0.45,0,347,2591,7.47,199.3,0.12,0.19,0.07,0.01,0
Danny O'Neil,san_diego_state,2024,4,0.0,136.23,1.0,1,28.25,0.8,0.4,-0.26,1.0,0.03,-0.5,-0.49,-0.43,0,136,807,5.93,201.8,-0.51,-0.48,0.03,0.05,0
Danny Vanden Boom,wisconsin,2018,3,0.0,455.2,1.0,2,0.33,0.0,0.62,0.14,3.0,-0.0,0.31,0.33,0.49,0,1,3,3.0,1.0,0.25,0.27,0.01,0.06,0
Dante Moore,ucla,2023,9,0.0,125.61,0.75,4,23.67,0.52,0.62,0.0,1.0,0.02,0.13,0.16,0.45,1,258,1526,5.91,169.6,0.13,0.09,0.01,0.07,1
Dante Moore,oregon,2024,2,-7.0,146.2,0.5,1,2.0,0.02,1.0,2.0,2.0,0.16,-0.98,-0.99,-1.0,0,5,28,5.6,14.0,-0.98,-0.98,-0.05,-0.92,0
Darell Garretson,oregon_state,2016,6,0.0,86.8,0.67,2,24.33,0.42,0.33,-0.46,2.0,-999.0,-999.0,-999.0,-999.0,0,187,791,4.23,131.8,-999.0,-999.0,-999.0,-999.0,0
Darell Garretson,oregon_state,2017,10,4.0,115.32,0.5,1,22.1,0.62,0.08,-0.75,1.0,0.33,0.51,1.37,1.0,0,265,1517,5.72,151.7,0.42,0.92,0.35,0.15,0
Darian Mensah,tulane,2024,6,0.0,172.05,0.33,2,21.17,0.93,0.67,0.24,1.0,0.03,-0.5,-0.49,-0.43,0,151,1296,8.58,216.0,-0.51,-0.48,0.03,0.05,0
Darius Bradwell,tulane,2016,2,0.0,127.31,0.67,2,12.38,0.2,0.33,-0.5,2.0,-999.0,-999.0,-999.0,-999.0,0,8,21,2.63,10.5,-999.0,-999.0,-999.0,-999.0,0
Darius Ocean,western_kentucky,2020,1,0.0,0.0,0.33,2,1.0,0.0,0.42,-0.35,3.0,-0.01,0.0,-0.02,-0.12,0,2,-1,-0.5,-1.0,0.0,-0.1,-0.06,0.09,0
Darius Ocean,western_kentucky,2022,5,4.0,191.16,1.0,2,2.4,0.02,0.64,0.54,2.0,1.0,11.0,1.0,1.0,0,20,116,5.8,23.2,9.0,-117.0,-12.6,-24.2,0
Darius Wade,boston_college,2016,9,0.0,81.05,0.5,1,2.11,0.07,0.54,0.17,2.0,-999.0,-999.0,-999.0,-999.0,0,26,106,4.08,11.8,-999.0,-999.0,-999.0,-999.0,0
Darius Wade,boston_college,2017,10,1.0,125.22,1.0,1,10.2,0.28,0.54,0.0,2.0,0.54,4.37,6.36,1.0,1,126,719,5.71,71.9,3.85,5.78,0.4,5.09,1
Darius Wade,bowling_green,2019,7,-3.0,108.45,1.0,1,18.57,0.39,0.25,-0.38,2.0,-0.13,0.27,0.02,0.0,0,161,840,5.22,120.0,0.28,0.17,-0.09,0.67,0
Darrel Colbert Jr.,smu,2016,5,0.0,47.2,0.33,2,2.2,0.02,0.42,-0.23,3.0,-999.0,-999.0,-999.0,-999.0,0,19,68,3.58,13.6,-999.0,-999.0,-999.0,-999.0,0
Darren Grainger,georgia_state,2021,13,0.0,146.82,1.0,2,17.54,0.73,0.62,0.14,1.0,0.02,0.7,0.94,1.0,0,362,2361,6.52,181.6,0.64,0.78,0.01,0.06,0
Darren Grainger,georgia_state,2022,12,-1.0,142.98,1.0,1,24.75,1.0,0.33,-0.46,1.0,-0.03,0.3,0.42,-0.05,0,461,3185,6.91,265.4,0.27,0.35,0.06,0.46,0
Darren Grainger,georgia_state,2023,13,1.0,144.19,1.0,1,27.54,0.98,0.54,0.62,1.0,0.01,0.21,0.07,0.11,0,517,3357,6.49,258.2,0.12,0.05,-0.06,-0.03,0
Darriel Mack Jr.,ucf,2018,10,0.0,110.9,0.33,2,10.0,0.26,0.92,0.2,2.0,-0.0,0.31,0.33,0.49,0,169,956,5.66,95.6,0.25,0.27,0.01,0.06,0
Darriel Mack Jr.,ucf,2019,9,-1.0,156.77,0.5,3,3.44,0.07,0.77,-0.17,2.0,0.41,-0.69,-0.65,0.33,0,72,398,5.53,44.2,-0.57,-0.58,-0.02,-0.54,0
Daulton Hyatt,arkansas,2018,1,0.0,127.31,0.67,4,12.38,0.2,0.17,0.0,2.0,-0.0,0.31,0.33,0.49,0,2,-6,-3.0,-6.0,0.25,0.27,0.01,0.06,0
David Blough,purdue,2016,12,0.0,119.37,1.0,1,43.08,0.94,0.25,-0.56,1.0,-999.0,-999.0,-999.0,-999.0,0,597,3365,5.64,280.4,-999.0,-999.0,-999.0,-999.0,0
David Blough,purdue,2017,9,-3.0,137.8,1.0,2,17.44,0.32,0.54,1.15,2.0,0.15,-0.7,-0.67,-0.64,0,199,1206,6.06,134.0,-0.67,-0.64,0.07,-0.52,0
David Blough,purdue,2018,13,4.0,146.91,1.0,2,35.54,0.91,0.46,-0.14,1.0,0.07,1.94,2.36,1.78,0,537,3757,7.0,289.0,1.7,2.12,0.16,1.16,0
David Cornwell,nevada,2017,2,0.0,60.59,0.25,4,12.5,0.06,0.25,-0.54,3.0,-0.01,0.14,0.17,0.04,0,27,88,3.26,44.0,0.13,0.17,0.01,0.08,0
David Moore,memphis,2017,5,0.0,155.92,0.5,2,2.0,0.02,0.77,0.06,2.0,-0.01,0.14,0.17,0.04,1,18,110,6.11,22.0,0.13,0.17,0.01,0.08,1
David Moore,central_michigan,2019,6,1.0,121.05,0.75,3,27.33,0.35,0.57,0.71,2.0,-0.22,15.4,17.14,4.0,0,186,1140,6.13,190.0,9.33,9.36,0.0,7.64,0
David Pindell,connecticut,2017,9,0.0,103.08,0.5,1,17.67,0.38,0.25,-0.62,2.0,-0.01,0.14,0.17,0.04,0,231,1226,5.31,136.2,0.13,0.17,0.01,0.08,0
David Pindell,connecticut,2018,12,3.0,123.41,1.0,3,26.17,0.9,0.08,-0.67,1.0,0.2,0.97,1.09,3.75,0,526,3101,5.9,258.4,1.28,1.53,0.11,0.9,0
David Washington,old_dominion,2016,13,0.0,156.62,1.0,2,26.15,0.91,0.77,2.08,1.0,-999.0,-999.0,-999.0,-999.0,0,407,3043,7.48,234.1,-999.0,-999.0,-999.0,-999.0,0
Davis Beville,pittsburgh,2020,6,0.0,75.2,0.5,3,1.67,0.02,0.55,1.18,3.0,-0.01,0.0,-0.02,-0.12,0,14,21,1.5,3.5,0.0,-0.1,-0.06,0.09,0
Davis Beville,pittsburgh,2021,3,-3.0,162.22,0.67,2,7.33,0.04,0.79,0.44,2.0,1.16,1.2,5.9,1.0,1,29,177,6.1,59.0,1.07,7.43,3.07,15.86,1
Davis Beville,oklahoma,2022,5,2.0,71.89,0.67,2,6.0,0.08,0.46,-0.44,2.0,-0.56,0.36,-0.51,-1.0,0,45,87,1.93,17.4,0.55,-0.51,-0.68,-0.71,0
Davis Beville,oklahoma,2023,2,-3.0,127.31,0.67,2,12.38,0.2,0.77,0.67,2.0,0.02,0.13,0.16,0.45,1,3,7,2.33,3.5,-0.93,-0.92,0.21,-0.8,1
Davis Beville,south_carolina,2024,1,-1.0,167.87,0.67,2,6.0,0.05,0.6,0.8,3.0,0.03,-0.5,-0.49,-0.43,0,6,33,5.5,33.0,1.0,3.71,1.36,8.43,0
Davis Brin,tulsa,2018,1,0.0,127.31,0.67,3,12.38,0.2,0.25,-0.68,2.0,-0.0,0.31,0.33,0.49,0,1,0,0.0,0.0,0.25,0.27,0.01,0.06,0
Davis Brin,tulsa,2020,2,1.0,165.9,1.0,2,14.5,0.1,0.67,1.67,2.0,-0.01,0.0,-0.02,-0.12,0,33,279,8.45,139.5,32.0,1.0,1.0,1.0,0
Davis Brin,tulsa,2021,13,11.0,132.33,1.0,1,31.62,1.0,0.54,-0.19,1.0,-0.2,13.17,11.1,8.0,0,478,3317,6.94,255.2,13.48,10.89,-0.18,0.83,0
Davis Brin,tulsa,2022,9,-4.0,147.08,0.67,2,27.78,0.6,0.42,-0.23,1.0,0.11,-0.39,-0.34,-0.06,1,298,2061,6.92,229.0,-0.38,-0.38,-0.0,-0.1,1
Davis Brin,georgia_southern,2023,13,4.0,130.59,0.5,1,42.46,0.97,0.46,0.0,1.0,-0.11,1.21,0.77,0.41,0,626,3721,5.94,286.2,1.1,0.81,-0.14,0.25,0
Davis Bryson,kennesaw_state,2024,5,0.0,93.11,1.0,1,22.2,0.96,0.0,0.04,1.0,0.03,-0.5,-0.49,-0.43,0,157,711,4.53,142.2,-0.51,-0.48,0.03,0.05,0
Davis Mills,stanford,2018,1,0.0,0.0,0.25,3,2.0,0.0,0.69,1.77,3.0,-0.0,0.31,0.33,0.49,0,3,5,1.67,5.0,0.25,0.27,0.01,0.06,0
Davis Mills,stanford,2019,8,7.0,144.79,1.0,2,30.12,0.55,0.33,-0.52,1.0,1.0,119.5,1.0,1.0,0,273,2004,7.34,250.5,90.0,399.8,3.4,49.1,0
Davis Mills,stanford,2020,5,-3.0,139.88,1.0,3,39.0,0.88,0.67,1.0,1.0,-0.03,-0.19,-0.23,-0.36,0,225,1545,6.87,309.0,-0.18,-0.23,-0.06,0.23,0
Davis Shanley,western_kentucky,2018,9,0.0,128.39,1.0,3,15.67,0.33,0.25,-0.61,2.0,-0.0,0.31,0.33,0.49,0,179,1033,5.77,114.8,0.25,0.27,0.01,0.06,0
Davis Shanley,western_kentucky,2019,1,-8.0,127.31,0.67,3,12.38,0.2,0.69,1.77,2.0,0.0,0.38,0.32,0.33,0,1,16,16.0,16.0,-0.99,-0.98,1.77,-0.86,0
Davis Warren,michigan,2022,6,0.0,138.63,0.43,6,1.5,0.02,0.93,0.08,3.0,-0.03,0.29,0.26,0.29,0,12,119,9.92,19.8,0.2,0.21,-0.04,0.11,0
Davis Warren,michigan,2023,3,-3.0,-40.0,0.25,4,1.67,0.01,1.0,0.08,3.0,-1.29,-0.44,-1.0,0.45,0,7,-4,-0.57,-1.3,-0.42,-1.03,-1.06,-1.07,0
Davis Warren,michigan,2024,3,0.0,110.97,1.0,2,24.0,0.54,0.67,-0.33,1.0,-3.77,13.4,1.0,1.0,0,80,444,5.55,148.0,10.43,-112.0,-10.74,-114.85,0
Davis Webb,california,2016,12,0.0,135.62,1.0,1,51.67,1.0,0.42,0.0,1.0,-999.0,-999.0,-999.0,-999.0,0,653,4185,6.41,348.8,-999.0,-999.0,-999.0,-999.0,0
De'Andre Johnson,florida_atlantic,2017,4,0.0,14.0,0.33,2,0.75,0.01,0.79,1.36,3.0,-0.01,0.14,0.17,0.04,0,7,36,5.14,9.0,0.13,0.17,0.01,0.08,0
De'Andre Johnson,florida_atlantic,2018,8,4.0,135.32,0.67,2,2.88,0.06,0.42,-0.47,3.0,8.67,6.67,31.2,1.0,0,58,339,5.84,42.4,7.29,8.42,0.14,3.71,0
De'Vante Cross,virginia,2017,13,0.0,127.31,0.67,2,12.38,0.2,0.46,1.77,2.0,-0.01,0.14,0.17,0.04,0,5,27,5.4,2.1,0.13,0.17,0.01,0.08,0
DeQuan Finn,toledo,2019,3,0.0,110.2,0.5,3,4.0,0.04,0.5,-0.07,4.0,0.0,0.38,0.32,0.33,0,27,176,6.52,58.7,0.32,0.27,0.01,0.15,0
DeShone Kizer,notre_dame,2016,12,0.0,145.57,1.0,1,30.08,0.94,0.33,-0.6,1.0,-999.0,-999.0,-999.0,-999.0,0,490,3397,6.93,283.1,-999.0,-999.0,-999.0,-999.0,0
Deacon Hill,wisconsin,2022,1,0.0,127.31,0.67,3,12.38,0.2,0.54,-0.13,2.0,-0.03,0.29,0.26,0.29,1,1,-10,-10.0,-10.0,0.2,0.21,-0.04,0.11,1
Deacon Hill,iowa,2023,13,12.0,87.37,0.67,2,19.31,0.72,0.71,0.19,1.0,0.02,0.13,0.16,0.45,0,301,1026,3.41,78.9,300.0,-103.6,-1.34,-8.89,0
Demond Williams Jr.,washington,2024,6,0.0,186.26,1.0,1,2.83,0.09,0.67,-0.13,2.0,0.03,-0.5,-0.49,-0.43,0,36,281,7.81,46.8,-0.51,-0.48,0.03,0.05,0
Demry Croft,minnesota,2017,9,0.0,86.84,0.5,1,13.67,0.53,0.42,0.0,1.0,-0.01,0.14,0.17,0.04,0,202,985,4.88,109.4,0.13,0.17,0.01,0.08,0
Dennis Grosel,boston_college,2019,13,0.0,116.95,0.67,2,11.92,0.52,0.46,-0.14,1.0,0.0,0.38,0.32,0.33,0,212,1192,5.62,91.7,0.32,0.27,0.01,0.15,0
Dennis Grosel,boston_college,2020,3,-10.0,182.44,1.0,1,18.0,0.14,0.55,0.18,2.0,0.56,-0.65,-0.42,-0.33,0,61,590,9.67,196.7,-0.71,-0.51,0.72,1.15,0
Dennis Grosel,boston_college,2021,8,5.0,114.03,0.67,2,24.0,0.63,0.5,-0.08,1.0,-0.37,2.56,1.14,0.0,0,236,1273,5.39,159.1,2.87,1.16,-0.44,-0.19,0
Deondre Francois,florida_state,2016,13,0.0,142.1,1.0,2,30.77,0.95,0.77,3.62,1.0,-999.0,-999.0,-999.0,-999.0,0,508,3546,6.98,272.8,-999.0,-999.0,-999.0,-999.0,0
Deondre Francois,florida_state,2017,1,-12.0,108.92,0.5,3,33.0,0.1,0.54,-0.3,2.0,-0.23,-0.92,-0.94,-0.95,0,42,201,4.79,201.0,-0.92,-0.94,-0.31,-0.26,0
Deondre Francois,florida_state,2018,11,10.0,121.69,0.5,1,36.0,0.89,0.42,-0.23,1.0,0.12,11.0,12.0,14.0,0,474,2747,5.8,249.7,10.29,12.67,0.21,0.24,0
Dequan Finn,toledo,2020,4,0.0,0.0,0.33,2,0.25,0.0,0.67,0.33,3.0,-0.01,0.0,-0.02,-0.12,0,11,51,4.64,12.8,0.0,-0.1,-0.06,0.09,0
Dequan Finn,toledo,2021,13,9.0,148.44,1.0,2,19.23,0.64,0.54,-0.19,1.0,1.0,249.0,1.0,1.0,0,361,2549,7.06,196.1,31.82,48.98,0.52,14.32,0
Dequan Finn,toledo,2022,12,-1.0,136.43,1.0,1,26.25,0.72,0.64,0.19,1.0,-0.08,0.26,0.11,0.28,0,445,2891,6.5,240.9,0.23,0.13,-0.08,0.23,0
Dequan Finn,toledo,2023,13,1.0,151.04,0.67,2,24.38,0.84,0.79,0.22,1.0,0.11,0.01,0.18,-0.04,1,440,3220,7.32,247.7,-0.01,0.11,0.13,0.03,1
Dequan Finn,baylor,2024,2,-11.0,127.19,0.33,2,21.5,0.23,0.33,0.5,2.0,-0.16,-0.86,-0.88,-0.86,0,62,333,5.37,166.5,-0.86,-0.9,-0.27,-0.33,0
Derek Green,smu,2019,3,0.0,-33.34,0.33,3,1.0,0.01,0.77,0.85,2.0,0.0,0.38,0.32,0.33,0,6,39,6.5,13.0,0.32,0.27,0.01,0.15,0
Derek Green,smu,2021,12,9.0,43.36,0.33,2,0.42,0.01,0.67,-0.13,3.0,-2.3,0.67,1.0,1.0,0,7,6,0.86,0.5,0.17,-0.85,-0.87,-0.96,0
Deshaun Watson,clemson,2016,15,0.0,151.15,0.4,4,38.6,0.92,0.93,0.19,1.0,-999.0,-999.0,-999.0,-999.0,0,744,5222,7.02,348.1,-999.0,-999.0,-999.0,-999.0,0
Deshawn Purdie,charlotte,2024,4,0.0,151.18,1.0,2,19.75,0.41,0.5,1.0,1.0,0.03,-0.5,-0.49,-0.43,0,98,607,6.19,151.8,-0.51,-0.48,0.03,0.05,0
Desmond Ridder,cincinnati,2018,13,0.0,146.42,1.0,3,23.92,0.84,0.85,0.41,1.0,-0.0,0.31,0.33,0.49,0,461,3017,6.54,232.1,0.25,0.27,0.01,0.06,0
Desmond Ridder,cincinnati,2019,13,0.0,123.75,1.0,2,25.0,0.86,0.79,-0.07,1.0,-0.15,0.05,-0.11,-0.1,0,469,2814,6.0,216.5,0.02,-0.07,-0.08,-0.07,0
Desmond Ridder,cincinnati,2020,10,-3.0,152.87,0.5,3,28.1,0.95,0.9,0.15,1.0,0.24,-0.14,0.06,0.06,0,379,2888,7.62,288.8,-0.19,0.03,0.27,0.33,0
Desmond Ridder,cincinnati,2021,14,4.0,158.68,1.0,1,27.64,0.97,0.93,0.03,1.0,0.04,0.38,0.45,0.58,0,497,3689,7.42,263.5,0.31,0.28,-0.03,-0.09,0
Desmond Trotter,south_alabama,2019,8,0.0,151.84,1.0,2,12.12,0.34,0.17,-0.5,2.0,0.0,0.38,0.32,0.33,0,158,1017,6.44,127.1,0.32,0.27,0.01,0.15,0
Desmond Trotter,south_alabama,2020,10,2.0,140.86,0.75,3,24.8,0.71,0.36,1.18,1.0,-0.07,1.56,1.34,0.38,0,332,1920,5.78,192.0,1.1,0.89,-0.1,0.51,0
Desmond Trotter,south_alabama,2021,5,-5.0,116.89,0.5,1,20.8,0.26,0.42,0.15,2.0,-0.17,-0.58,-0.69,-0.55,0,136,650,4.78,130.0,-0.59,-0.66,-0.17,-0.32,0
Desmond Trotter,south_alabama,2022,5,0.0,135.48,0.5,2,4.0,0.04,0.77,0.85,2.0,0.16,-0.81,-0.76,-1.0,0,26,171,6.58,34.2,-0.81,-0.74,0.38,-0.74,0
Desmond Trotter,south_alabama,2023,5,0.0,173.12,1.0,3,8.2,0.1,0.54,-0.3,3.0,0.28,1.05,1.44,1.0,0,55,406,7.38,81.2,1.12,1.37,0.12,1.37,0
Destin Wade,kentucky,2022,1,0.0,67.44,0.25,3,30.0,0.09,0.54,-0.3,2.0,-0.03,0.29,0.26,0.29,0,46,127,2.76,127.0,0.2,0.21,-0.04,0.11,0
Deuce Adams,louisville,2024,1,0.0,127.31,0.67,4,12.38,0.2,0.6,-0.16,2.0,0.03,-0.5,-0.49,-0.43,0,1,1,1.0,1.0,-0.51,-0.48,0.03,0.05,0
Deuce Hogan,iowa,2021,1,0.0,116.8,0.67,2,1.0,0.0,0.71,0.0,3.0,0.02,0.7,0.94,1.0,1,1,2,2.0,2.0,0.64,0.78,0.01,0.06,1
Deuce Hogan,kentucky,2022,3,2.0,108.51,0.5,3,2.33,0.02,0.54,0.0,4.0,-0.07,6.0,8.5,0.29,1,7,19,2.71,6.3,6.0,8.5,0.36,2.15,1
Deuce Hogan,new_mexico_state,2024,2,-1.0,25.57,0.33,2,9.0,0.11,0.17,-0.33,3.0,-0.76,1.57,0.63,-0.43,0,22,28,1.27,14.0,2.14,0.47,-0.53,1.22,0
Deuce Spann,illinois,2020,1,0.0,127.31,0.67,4,12.38,0.2,0.25,0.0,2.0,-0.01,0.0,-0.02,-0.12,0,1,1,1.0,1.0,0.0,-0.1,-0.06,0.09,0
Deuce Wallace,vanderbilt,2017,4,0.0,100.89,0.33,2,5.5,0.05,0.42,0.67,2.0,-0.01,0.14,0.17,0.04,1,22,94,4.27,23.5,0.13,0.17,0.01,0.08,0
Deuce Wallace,vanderbilt,2019,8,4.0,60.19,0.5,3,12.62,0.27,0.25,-0.4,2.0,-0.4,3.59,2.27,-1.0,0,116,276,2.38,34.5,4.27,1.94,-0.44,0.47,0
Devin Adams,auburn,2017,1,0.0,45.8,0.33,2,2.0,0.01,0.71,0.31,3.0,-0.01,0.14,0.17,0.04,0,4,5,1.25,5.0,0.13,0.17,0.01,0.08,0
Devin Adams,auburn,2018,2,1.0,127.31,0.67,4,12.38,0.2,0.62,-0.14,2.0,-0.0,0.31,0.33,0.49,0,1,1,1.0,0.5,-0.75,-0.8,-0.2,-0.9,0
Devin Brown,ohio_state,2022,2,0.0,127.31,0.67,2,12.38,0.2,0.85,-0.09,2.0,-0.03,0.29,0.26,0.29,0,1,1,1.0,0.5,0.2,0.21,-0.04,0.11,0
Devin Brown,ohio_state,2023,6,4.0,138.67,0.67,2,4.67,0.07,0.85,0.0,2.0,0.02,0.13,0.16,0.45,0,50,240,4.8,40.0,49.0,239.0,3.8,79.0,0
Devin Brown,ohio_state,2024,5,-1.0,124.29,0.33,3,3.6,0.12,1.0,0.18,2.0,-0.1,-0.36,-0.5,-0.5,0,23,118,5.13,23.6,-0.54,-0.51,0.07,-0.41,0
