name,team_name,season,g,g_diff,passing_rating,pass_rating_perc,other_qbs,attempts_per_game,playing_time_ratio,team_win_pct,team_win_pct_change,depth_chart_position,passing_rating_yoy_change,passing_att_yoy_change,passing_yards_yoy_change,passing_td_yoy_change,transfer,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,offense_plays_yoy_change,offense_total_yards_yoy_change,offense_yards/play_yoy_change,offense_yards/g_yoy_change,transferred_next_year
Devin Kargman,kent_state,2022,6,0.0,88.76,0.33,2,11.67,0.2,0.42,0.0,2.0,-0.03,0.29,0.26,0.29,0,77,321,4.17,53.5,0.2,0.21,-0.04,0.11,0
Devin Kargman,kent_state,2023,3,-3.0,133.05,1.0,2,13.33,0.13,0.08,-0.8,3.0,0.5,-0.43,-0.12,-0.33,0,45,276,6.13,92.0,-0.42,-0.14,0.47,0.72,0
Devin Kargman,kent_state,2024,4,1.0,106.32,0.67,2,20.5,0.66,0.0,-1.0,1.0,-0.2,1.05,0.42,0.5,0,93,401,4.31,100.3,1.07,0.45,-0.3,0.09,0
Devin Leary,north_carolina_state,2019,8,0.0,104.67,0.67,2,26.25,0.46,0.33,-0.33,1.0,0.0,0.38,0.32,0.33,0,250,1265,5.06,158.1,0.32,0.27,0.01,0.15,0
Devin Leary,north_carolina_state,2020,4,-4.0,148.32,1.0,2,27.5,0.28,0.67,1.0,2.0,0.42,-0.48,-0.27,0.0,0,129,897,6.95,224.3,-0.48,-0.29,0.37,0.42,0
Devin Leary,north_carolina_state,2021,12,8.0,157.05,1.0,2,35.92,0.98,0.75,0.12,1.0,0.06,2.92,2.86,3.38,0,485,3360,6.93,280.0,2.76,2.75,-0.0,0.25,0
Devin Leary,north_carolina_state,2022,6,-6.0,130.85,0.75,3,32.17,0.41,0.62,-0.18,1.0,-0.17,-0.55,-0.63,-0.69,1,216,1266,5.86,211.0,-0.55,-0.62,-0.15,-0.25,1
Devin Leary,kentucky,2023,13,7.0,134.28,1.0,1,28.54,0.99,0.54,0.0,1.0,0.03,0.92,1.17,1.27,0,413,2686,6.5,206.6,0.91,1.12,0.11,-0.02,0
Devon Dampier,new_mexico,2023,9,0.0,162.35,1.0,3,7.11,0.18,0.33,0.0,2.0,0.02,0.13,0.16,0.45,0,123,853,6.93,94.8,0.13,0.09,0.01,0.07,0
Devon Dampier,new_mexico,2024,5,-4.0,118.01,1.0,1,38.6,1.0,0.2,-0.4,1.0,-0.27,2.02,1.49,0.0,0,233,1641,7.04,328.2,0.89,0.92,0.02,2.46,0
Devon Modster,ucla,2017,5,0.0,152.62,0.67,2,15.8,0.15,0.46,-0.25,2.0,-0.01,0.14,0.17,0.04,1,89,705,7.92,141.0,0.13,0.17,0.01,0.08,1
Devon Modster,california,2019,6,1.0,104.68,0.75,3,20.33,0.33,0.62,0.48,2.0,-0.31,0.54,0.05,0.25,0,170,873,5.14,145.5,0.91,0.24,-0.35,0.03,0
Devon Modster,california,2020,1,-5.0,0.0,0.5,1,1.0,0.01,0.25,-0.59,2.0,-1.0,-0.99,-1.0,-1.0,0,1,0,0.0,0.0,-0.99,-1.0,-1.0,-1.0,0
Dewayne Coleman,army,2023,3,0.0,-17.6,0.25,3,0.33,0.01,0.5,-0.33,4.0,0.02,0.13,0.16,0.45,0,5,-6,-1.2,-2.0,0.13,0.09,0.01,0.07,0
Dewayne Coleman,army,2024,4,1.0,220.45,1.0,2,1.75,0.19,1.0,1.0,2.0,-13.53,6.0,-6.21,1.0,0,25,141,5.64,35.3,4.0,-24.5,-5.7,-18.65,0
Dexter Williams II,indiana,2022,4,0.0,81.72,0.5,3,9.5,0.08,0.33,0.0,2.0,-0.03,0.29,0.26,0.29,1,78,349,4.47,87.3,0.2,0.21,-0.04,0.11,1
Dexter Williams II,georgia_southern,2024,2,-2.0,125.6,0.5,1,2.0,0.02,0.6,0.3,2.0,0.54,-0.89,-0.8,-1.0,0,7,55,7.86,27.5,-0.91,-0.84,0.76,-0.68,0
Diego Pavia,new_mexico_state,2022,12,0.0,133.53,0.67,2,15.83,0.62,0.54,2.23,1.0,-0.03,0.29,0.26,0.29,0,283,1958,6.92,163.2,0.2,0.21,-0.04,0.11,0
Diego Pavia,new_mexico_state,2023,15,3.0,147.13,0.67,2,24.4,0.93,0.67,0.24,1.0,0.1,0.93,1.05,1.0,1,542,3896,7.19,259.7,0.92,0.99,0.04,0.59,1
Diego Pavia,vanderbilt,2024,5,-10.0,169.65,1.0,1,21.0,0.99,0.6,1.4,1.0,0.15,-0.71,-0.67,-0.69,0,196,1308,6.67,261.6,-0.64,-0.66,-0.07,0.01,0
Dillon Gabriel,ucf,2019,13,0.0,156.92,0.75,3,30.62,0.87,0.77,0.0,1.0,0.0,0.38,0.32,0.33,0,469,3731,7.96,287.0,0.32,0.27,0.01,0.15,0
Dillon Gabriel,ucf,2020,10,-3.0,156.29,1.0,1,41.3,1.0,0.6,-0.22,1.0,-0.0,0.04,-0.02,0.1,0,485,3739,7.71,373.9,0.03,0.0,-0.03,0.3,0
Dillon Gabriel,ucf,2021,3,-7.0,158.9,0.8,4,34.0,0.26,0.69,0.15,2.0,0.02,-0.75,-0.77,-0.72,1,126,939,7.45,313.0,-0.74,-0.75,-0.03,-0.16,1
Dillon Gabriel,oklahoma,2022,12,9.0,154.39,1.0,2,30.58,0.92,0.46,-0.4,1.0,-0.03,2.6,2.89,1.78,0,456,3483,7.64,290.3,2.62,2.71,0.03,-0.07,0
Dillon Gabriel,oklahoma,2023,12,0.0,171.98,1.0,2,32.0,0.85,0.77,0.67,1.0,0.11,0.05,0.16,0.2,1,477,4033,8.45,336.1,0.05,0.16,0.11,0.16,1
Dillon Gabriel,oregon,2024,5,-7.0,168.88,1.0,1,33.4,0.98,1.0,0.0,1.0,-0.02,-0.57,-0.6,-0.63,0,191,1520,7.96,304.0,-0.6,-0.62,-0.06,-0.1,0
Dillon Markiewicz,syracuse,2020,2,0.0,0.0,0.25,3,0.5,0.0,0.09,-0.78,4.0,-0.01,0.0,-0.02,-0.12,0,1,0,0.0,0.0,0.0,-0.1,-0.06,0.09,0
Dillon Sterling-Cole,arizona_state,2016,6,0.0,101.62,0.33,2,9.17,0.13,0.42,0.0,2.0,-999.0,-999.0,-999.0,-999.0,0,70,398,5.69,66.3,-999.0,-999.0,-999.0,-999.0,0
Dillon Sterling-Cole,arizona_state,2018,2,-4.0,0.0,0.5,1,1.0,0.01,0.54,0.29,2.0,-1.0,-0.96,-1.0,-1.0,0,4,22,5.5,11.0,-0.94,-0.94,-0.03,-0.83,0
Dino Maldonado,new_mexico_state,2021,2,0.0,135.29,1.0,2,33.0,0.13,0.17,-0.75,2.0,0.02,0.7,0.94,1.0,0,77,581,7.55,290.5,0.64,0.78,0.01,0.06,0
Dion Ray,louisiana-lafayette,2016,6,0.0,0.0,0.25,3,0.17,0.0,0.46,0.0,4.0,-999.0,-999.0,-999.0,-999.0,0,28,119,4.25,19.8,-999.0,-999.0,-999.0,-999.0,0
Dion Ray,louisiana-lafayette,2017,9,3.0,0.0,0.2,4,0.11,0.0,0.42,-0.1,4.0,-0.01,0.0,0.17,0.04,0,17,27,1.59,3.0,-0.39,-0.77,-0.63,-0.85,0
Dom Shoffner,charlotte,2020,4,0.0,282.2,1.0,1,1.0,0.02,0.33,-0.33,2.0,-0.01,0.0,-0.02,-0.12,0,25,133,5.32,33.3,0.0,-0.1,-0.06,0.09,0
Dom Shoffner,charlotte,2023,3,-1.0,56.75,0.25,4,3.0,0.03,0.25,-0.25,3.0,-0.8,1.25,0.16,-1.0,0,16,67,4.19,22.3,-0.36,-0.5,-0.21,-0.33,0
Dominic Johnson,buffalo,2018,4,0.0,-33.2,0.33,2,0.5,0.0,0.71,1.86,3.0,-0.0,0.31,0.33,0.49,0,3,5,1.67,1.3,0.25,0.27,0.01,0.06,0
Donald Hammond III,air_force,2018,9,0.0,142.83,0.67,2,8.0,0.43,0.42,-0.4,2.0,-0.0,0.31,0.33,0.49,0,156,997,6.39,110.8,0.25,0.27,0.01,0.06,0
Donald Hammond III,air_force,2019,13,4.0,177.88,0.33,2,8.54,0.91,0.85,1.03,1.0,0.25,0.54,1.11,1.6,0,232,1869,8.06,143.8,0.49,0.87,0.26,0.3,0
Donavan Tate,arizona,2017,2,0.0,184.0,0.88,4,0.5,0.0,0.54,0.0,3.0,-0.01,0.14,0.17,0.04,0,1,10,10.0,5.0,0.13,0.17,0.01,0.08,0
Donaven McCulley,indiana,2021,7,0.0,94.51,0.5,3,11.71,0.21,0.17,-0.5,3.0,0.02,0.7,0.94,1.0,0,146,610,4.18,87.1,0.64,0.78,0.01,0.06,0
Donovan Leary,illinois,2024,1,0.0,88.72,0.5,1,5.0,0.04,0.8,2.2,2.0,0.03,-0.5,-0.49,-0.43,0,5,29,5.8,29.0,-0.51,-0.48,0.03,0.05,0
Donovan Smith,texas_tech,2021,11,0.0,146.35,0.75,3,12.73,0.36,0.54,0.29,2.0,0.02,0.7,0.94,1.0,0,196,1343,6.85,122.1,0.64,0.78,0.01,0.06,0
Donovan Smith,texas_tech,2022,12,1.0,133.94,1.0,2,18.42,0.39,0.62,0.14,1.0,-0.08,0.58,0.27,0.71,1,297,1621,5.46,135.1,0.52,0.21,-0.2,0.11,1
Donovan Smith,houston,2023,12,0.0,135.48,0.5,1,33.08,0.98,0.33,0.0,1.0,0.01,0.8,0.86,0.83,0,535,3229,6.04,269.1,0.8,0.99,0.11,0.99,0
Donovan Smith,houston,2024,6,-6.0,116.43,0.33,2,18.17,0.76,0.33,0.0,1.0,-0.14,-0.73,-0.75,-0.91,0,157,796,5.07,132.7,-0.71,-0.75,-0.16,-0.51,0
Donovan Williams,connecticut,2016,3,0.0,71.7,0.33,2,25.33,0.2,0.25,2.0,2.0,-999.0,-999.0,-999.0,-999.0,0,107,352,3.29,117.3,-999.0,-999.0,-999.0,-999.0,0
Dorian Thompson-Robinson,ucla,2018,10,0.0,122.29,0.5,2,19.4,0.48,0.25,-0.46,2.0,-0.0,0.31,0.33,0.49,0,244,1379,5.65,137.9,0.25,0.27,0.01,0.06,0
Dorian Thompson-Robinson,ucla,2019,11,1.0,134.85,1.0,1,32.91,0.85,0.33,0.33,1.0,0.1,0.87,1.06,2.0,0,480,2899,6.04,263.5,0.97,1.1,0.07,0.91,0
Dorian Thompson-Robinson,ucla,2020,5,-6.0,156.29,1.0,1,27.6,0.69,0.43,0.29,1.0,0.16,-0.62,-0.59,-0.43,0,193,1426,7.39,285.2,-0.6,-0.51,0.22,0.08,0
Dorian Thompson-Robinson,ucla,2021,11,6.0,153.94,1.0,1,25.73,0.85,0.67,0.56,1.0,-0.02,1.05,1.15,0.75,0,413,3018,7.31,274.4,1.14,1.12,-0.01,-0.04,0
Dorian Thompson-Robinson,ucla,2022,13,2.0,157.4,1.0,2,29.38,0.91,0.69,0.04,1.0,0.02,0.35,0.32,0.29,0,500,3814,7.63,293.4,0.21,0.26,0.04,0.07,0
Doug Brumfield,unlv,2020,2,0.0,103.26,0.5,3,10.5,0.11,0.0,-1.0,3.0,-0.01,0.0,-0.02,-0.12,0,35,188,5.37,94.0,0.0,-0.1,-0.06,0.09,0
Doug Brumfield,unlv,2021,3,1.0,124.3,0.75,3,13.0,0.12,0.17,1.0,3.0,0.2,0.86,1.12,1.0,0,58,429,7.4,143.0,0.66,1.28,0.38,0.52,0
Doug Brumfield,unlv,2022,10,7.0,136.38,0.67,2,25.4,0.7,0.42,1.5,1.0,0.1,5.51,4.93,4.0,0,344,2159,6.28,215.9,4.93,4.03,-0.15,0.51,0
Doug Brumfield,unlv,2023,8,-2.0,86.34,0.5,2,6.25,0.12,0.64,0.54,2.0,-0.37,-0.8,-0.87,-1.0,0,74,286,3.86,35.8,-0.78,-0.87,-0.39,-0.83,0
Drake Lindsey,minnesota,2024,2,0.0,231.0,1.0,1,2.0,0.02,0.5,0.2,2.0,0.03,-0.5,-0.49,-0.43,0,5,41,8.2,20.5,-0.51,-0.48,0.03,0.05,0
Drake Maye,north_carolina,2021,4,0.0,177.76,1.0,2,2.5,0.03,0.46,-0.08,3.0,0.02,0.7,0.94,1.0,0,16,151,9.44,37.8,0.64,0.78,0.01,0.06,0
Drake Maye,north_carolina,2022,14,10.0,157.91,1.0,1,36.93,0.99,0.64,0.39,1.0,-0.11,50.7,47.55,37.0,0,701,5019,7.16,358.5,42.81,32.24,-0.24,8.48,0
Drake Maye,north_carolina,2023,12,-2.0,149.0,1.0,2,35.42,0.93,0.62,-0.04,1.0,-0.06,-0.18,-0.17,-0.37,0,537,4057,7.55,338.1,-0.23,-0.19,0.05,-0.06,0
Drayton Arnold,old_dominion,2018,2,0.0,138.2,0.75,4,1.0,0.0,0.33,-0.57,4.0,-0.0,0.31,0.33,0.49,0,3,23,7.67,11.5,0.25,0.27,0.01,0.06,0
Drew Allar,penn_state,2022,10,0.0,128.49,0.67,2,6.0,0.14,0.85,0.0,2.0,-0.03,0.29,0.26,0.29,0,78,396,5.08,39.6,0.2,0.21,-0.04,0.11,0
Drew Allar,penn_state,2023,13,3.0,136.89,0.5,1,29.92,0.95,0.77,-0.09,1.0,0.07,5.48,6.65,5.25,0,463,2837,6.13,218.2,4.94,6.16,0.21,4.51,0
Drew Allar,penn_state,2024,5,-8.0,187.56,0.5,1,20.6,0.91,1.0,0.3,1.0,0.37,-0.74,-0.58,-0.64,0,129,1190,9.22,238.0,-0.72,-0.58,0.5,0.09,0
Drew Anderson,buffalo,2016,1,0.0,0.0,0.33,2,1.0,0.0,0.17,-0.77,3.0,-999.0,-999.0,-999.0,-999.0,0,1,0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0
Drew Anderson,buffalo,2017,5,4.0,173.84,1.0,2,21.2,0.26,0.5,2.0,2.0,1.0,105.0,1.0,1.0,0,117,1131,9.67,226.2,116.0,1.0,1.0,1.0,0
Drew Barker,kentucky,2016,3,0.0,136.83,1.0,2,12.0,0.12,0.54,0.0,2.0,-999.0,-999.0,-999.0,-999.0,0,50,311,6.22,103.7,-999.0,-999.0,-999.0,-999.0,0
Drew Barker,kentucky,2017,5,2.0,115.94,0.5,1,1.4,0.02,0.54,0.0,2.0,-0.15,-0.81,-0.85,-1.0,0,12,34,2.83,6.8,-0.76,-0.89,-0.55,-0.93,0
Drew Carter,colorado,2021,6,0.0,66.17,0.5,1,2.0,0.04,0.33,-0.2,2.0,0.02,0.7,0.94,1.0,0,15,34,2.27,5.7,0.64,0.78,0.01,0.06,0
Drew Carter,colorado,2022,3,-3.0,31.3,0.2,4,1.33,0.01,0.08,-0.75,5.0,-0.53,-0.67,-0.91,0.29,0,11,17,1.55,5.7,-0.27,-0.5,-0.32,0.0,0
Drew Devillier,rice,2024,2,0.0,126.45,1.0,1,4.0,0.04,0.2,-0.57,2.0,0.03,-0.5,-0.49,-0.43,0,11,62,5.64,31.0,-0.51,-0.48,0.03,0.05,0
Drew Eckels,western_kentucky,2016,8,0.0,187.6,1.0,2,1.5,0.03,0.79,0.13,3.0,-999.0,-999.0,-999.0,-999.0,0,15,109,7.27,13.6,-999.0,-999.0,-999.0,-999.0,0
Drew Eckels,western_kentucky,2017,8,0.0,120.22,0.67,2,1.38,0.02,0.46,-0.41,2.0,-0.36,-0.08,-0.27,-1.0,0,23,113,4.91,14.1,0.53,0.04,-0.32,0.04,0
Drew Eckels,western_kentucky,2018,3,-5.0,120.67,0.75,3,33.0,0.23,0.25,-0.46,3.0,0.0,8.0,7.24,1.0,0,123,730,5.93,243.3,4.35,5.46,0.21,16.26,0
