transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g,offense_rush_yards,offense_pass_yards,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,season_wins,season_losses,g_diff,pass_rating_perc,other_qbs,attempts_per_game,playing_time_ratio,team_win_pct,team_win_pct_change,depth_chart_position,passing_rating_yoy_change,passing_att_yoy_change,passing_yards_yoy_change,rushing_yards_yoy_change,passing_td_yoy_change,offense_plays_yoy_change,offense_total_yards_yoy_change,offense_yards/play_yoy_change,offense_yards/g_yoy_change
False,K.J. Jefferson,2019,QB,arkansas,1,3,31.0,14.0,45.2,197.0,6.4,0.0,1.0,92.09,10.3,65.7,k.j._jefferson_arkansas,30.0,58.0,1.93,2.0,10.0,19.33,58,197,61,255,4.18,85.0,2,10,0.0,0.2,4,10.333333333333334,0.07692307692307693,0.16666666666666666,-0.7592592592592593,3.0,0.0026877706435719517,0.3799999999999999,0.3201492537313433,-0.30093411996066866,0.33333333333333326,0.32000000000000006,0.273927392739274,0.006389776357827559,0.15393654524089317
False,KJ Jackson,2024,QB,arkansas,1,1,4.0,4.0,100.0,59.0,14.8,0.0,0.0,223.9,4.0,59.0,kj_jackson_arkansas,1.0,3.0,3.0,0.0,1.0,3.0,3,59,5,62,12.4,62.0,4,2,0.0,1.0,2,4.0,0.01932367149758454,0.6666666666666666,3.0,3.0,0.027581841200940538,-0.5,-0.4882533197139939,-0.6086956521739131,-0.4316770186335404,-0.5080213903743316,-0.47823476803123516,0.03301801801801796,0.05040527483538493
False,KJ Jefferson,2020,QB,arkansas,1,5,41.0,20.0,48.8,295.0,7.2,3.0,0.0,133.37,8.2,59.0,kj_jefferson_arkansas,28.0,67.0,2.39,2.0,5.6,13.4,67,295,69,362,5.25,72.4,3,7,0.0,0.5,3,8.2,0.14695340501792115,0.3,-0.55,2.0,-0.007227509430153489,0.0,-0.015105740181268867,-0.4443451413714657,-0.125,0.0,-0.09609172029681956,-0.05728061716489874,0.09103502787253515
False,KJ Jefferson,2021,QB,arkansas,2,13,294.0,198.0,67.3,2676.0,9.1,21.0,4.0,164.66,22.6,205.8,kj_jefferson_arkansas,146.0,664.0,4.55,6.0,11.23,51.08,664,2676,440,3340,7.59,256.9,9,4,8.0,1.0,2,22.615384615384617,0.9576547231270358,0.6923076923076923,1.307692307692308,1.0,0.23461048211741775,6.170731707317073,8.071186440677966,8.91044776119403,6.0,5.3768115942028984,8.226519337016574,0.44571428571428573,2.5483425414364635
False,KJ Jefferson,2022,QB,arkansas,3,11,300.0,204.0,68.0,2648.0,8.8,24.0,5.0,165.22,27.3,240.7,kj_jefferson_arkansas,158.0,640.0,4.05,9.0,14.36,58.18,640,2648,458,3288,7.18,298.9,7,6,-2.0,1.0,2,27.272727272727273,0.8426966292134831,0.5384615384615384,-0.2222222222222222,1.0,0.0034009474067775436,0.020408163265306145,-0.010463378176382654,-0.03614457831325302,0.1428571428571428,0.040909090909091006,-0.015568862275449069,-0.05401844532279321,0.1634877384196185
True,KJ Jefferson,2023,QB,arkansas,4,12,296.0,190.0,64.2,2107.0,7.1,19.0,8.0,139.75,24.7,175.6,kj_jefferson_arkansas,161.0,447.0,2.78,2.0,13.42,37.25,447,2107,457,2554,5.59,212.8,4,8,1.0,0.5,1,24.666666666666668,0.9164086687306502,0.3333333333333333,-0.38095238095238093,1.0,-0.1541580922406488,-0.013333333333333308,-0.20430513595166166,-0.30156249999999996,-0.20833333333333337,-0.0021834061135370675,-0.22323600973236013,-0.2214484679665738,-0.28805620608899285
False,KJ Jefferson,2024,QB,ucf,4,5,108.0,64.0,59.3,1012.0,9.4,7.0,4.0,151.95,21.6,202.4,kj_jefferson_ucf,61.0,193.0,3.16,2.0,12.2,38.6,193,1012,169,1205,7.13,241.0,3,2,-7.0,1.0,2,21.6,0.9152542372881356,0.6,0.2999999999999998,1.0,0.08729874776386404,-0.6351351351351351,-0.5196962505932605,-0.5682326621923937,-0.631578947368421,-0.6301969365426696,-0.5281910728269381,0.2754919499105546,0.13251879699248104
False,Kade Young,2019,QB,troy,4,1,5.0,3.0,60.0,23.0,4.6,0.0,1.0,58.64,5.0,23.0,kade_young_troy,,,,,,,0,23,5,23,4.6,23.0,5,7,0.0,0.33,2,5.0,0.01026694045174538,0.4166666666666667,-0.5138888888888888,3.0,0.0026877706435719517,0.3799999999999999,0.3201492537313433,-0.30093411996066866,0.33333333333333326,0.32000000000000006,0.273927392739274,0.006389776357827559,0.15393654524089317
False,Kaden Anderson,2024,QB,wyoming,1,4,12.0,9.0,75.0,79.0,6.6,1.0,0.0,157.8,3.0,19.8,kaden_anderson_wyoming,2.0,1.0,0.5,0.0,0.5,0.25,1,79,14,80,5.71,20.0,1,4,0.0,1.0,1,3.0,0.09523809523809523,0.2,-0.675,2.0,0.027581841200940538,-0.5,-0.4882533197139939,-0.6086956521739131,-0.4316770186335404,-0.5080213903743316,-0.47823476803123516,0.03301801801801796,0.05040527483538493
False,Kadin Semonza,2023,QB,ball_state,1,4,82.0,50.0,61.0,480.0,5.9,3.0,5.0,110.02,20.5,120.0,kadin_semonza_ball_state,17.0,10.0,0.59,0.0,4.25,2.5,10,480,99,490,4.95,122.5,4,8,0.0,0.67,2,20.5,0.26973684210526316,0.3333333333333333,-0.20000000000000007,3.0,0.01705115346038122,0.12962962962962954,0.15629835964097794,-0.3152866242038217,0.4545454545454546,0.13084112149532712,0.0906028965981811,0.012326656394453073,0.06699999999999995
