name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name,season,player_id,transfer
Bishop Davenport,FR,QB,3,44,27,61.4,245,5.6,1,2,106.54,14.7,81.7,utah_state,2022,bishop_davenport_utah_state,True
Bishop Davenport,SO,QB,6,46,27,58.7,278,6.0,1,0,116.63,7.7,46.3,south_alabama,2024,bishop_davenport_south_alabama,False
Blake Baker,FR,QB,2,34,18,52.9,314,9.2,1,3,122.57,17.0,157.0,louisiana_tech,2024,blake_baker_louisiana_tech,False
Blake Barnett,FR,QB,3,19,11,57.9,219,11.5,2,0,189.46,6.3,73.0,alabama,2016,blake_barnett_alabama,True
Blake Barnett,SO,QB,3,5,3,60.0,40,8.0,0,1,87.2,1.7,13.3,arizona_state,2017,blake_barnett_arizona_state,True
Blake Barnett,JR,QB,11,350,214,61.1,2710,7.7,12,11,131.21,31.8,246.4,south_florida,2018,blake_barnett_south_florida,False
Blake Barnett,SR,QB,5,77,40,51.9,434,5.6,4,2,111.24,15.4,86.8,south_florida,2019,blake_barnett_south_florida,False
Blake Boda,FR,QB,3,1,1,100.0,14,14.0,0,0,217.6,0.3,4.7,coastal_carolina,2023,blake_boda_coastal_carolina,False
Blake Bost,FR,QB,5,7,2,28.6,18,2.6,0,1,21.6,1.4,3.6,texas_a&m,2021,blake_bost_texas_a&m,False
Blake Clark,FR,QB,13,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,iowa_state,2019,blake_clark_iowa_state,False
Blake Cusick,FR,P,12,2,0,0.0,0,0.0,0,1,-100.0,0.2,0.0,fresno_state,2016,blake_cusick_fresno_state,False
Blake Horvath,SO,QB,4,12,6,50.0,84,7.0,2,0,163.8,3.0,21.0,navy,2023,blake_horvath_navy,False
Blake Horvath,JR,QB,5,59,39,66.1,771,13.1,7,1,211.63,11.8,154.2,navy,2024,blake_horvath_navy,False
Blake Johnson,SO,P,12,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,arkansas,2017,blake_johnson_arkansas,False
Blake LaRussa,FR,QB,10,24,14,58.3,140,5.8,0,1,99.0,2.4,14.0,old_dominion,2016,blake_larussa_old_dominion,False
Blake LaRussa,SO,QB,5,67,38,56.7,420,6.3,3,3,115.2,13.4,84.0,old_dominion,2017,blake_larussa_old_dominion,False
Blake LaRussa,JR,QB,11,393,249,63.4,3015,7.7,19,10,138.67,35.7,274.1,old_dominion,2018,blake_larussa_old_dominion,False
Blake Lynch,FR,WR,11,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,baylor,2016,blake_lynch_baylor,False
Blake Maimone,JR,P,13,1,1,100.0,28,28.0,0,0,335.2,0.1,2.2,oregon,2018,blake_maimone_oregon,False
Blake Murphy,FR,QB,4,104,53,51.0,721,6.9,4,5,112.27,26.0,180.3,louisiana-monroe,2023,blake_murphy_louisiana-monroe,False
